Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),,Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle),,,,,
Bex1,-1.27,0.00,,-1.20,0.01,,,,,
Bex2,-1.26,0.00,,-1.24,0.01,,,,,
Bex3,-1.18,0.01,,-1.11,0.06,,,,,
Bgn,1.50,0.22,,1.20,0.50,,,,,
Bhlhb9,1.40,0.01,,1.81,0.00,,,,,
Bhlhe22,1.18,0.11,,1.34,0.01,,,,,
Bhlhe23,1.62,0.01,,-1.03,0.75,,,,,
Bhlhe40,1.16,0.03,,1.27,0.00,,,,,
Bicd2,1.38,0.00,,1.53,0.00,,,,,
Bin1,1.06,0.24,,-1.05,0.30,,,,,
Birc2,1.33,0.01,,1.62,0.00,,,,,
Blcap,1.03,0.52,,1.15,0.00,,,,,
Bles03,-1.00,0.94,,-1.12,0.01,,,,,
Bloc1s1,-1.23,0.00,,-1.40,0.00,,,,,
Bloc1s2,-1.16,0.11,,-1.06,0.53,,,,,
Bloc1s4,-1.17,0.02,,-1.13,0.05,,,,,
Bloc1s6,1.27,0.05,,1.44,0.00,,,,,
Blvra,-1.11,0.31,,-1.05,0.56,,,,,
Blvrb,-1.09,0.24,,-1.11,0.14,,,,,
Bmi1,1.39,0.00,,1.49,0.00,,,,,
Bmp4,1.01,0.79,,-1.08,0.41,,,,,
Bmyc,-1.20,0.00,,-1.37,0.00,,,,,
Bnip1,-1.08,0.19,,-1.10,0.09,,,,,
Bnip3,1.04,0.65,,1.13,0.20,,,,,
Bnip3l,1.15,0.18,,1.49,0.00,,,,,
Bod1,-1.07,0.24,,-1.02,0.74,,,,,
Bok,1.04,0.79,,-1.19,0.08,,,,,
Bola1,-1.36,0.01,,-1.51,0.00,,,,,
Bola3,-1.01,0.84,,-1.14,0.04,,,,,
Bop1,1.03,0.57,,1.03,0.63,,,,,
Borcs6,-1.00,0.90,,-1.14,0.00,,,,,
Borcs7,1.38,0.00,,1.57,0.00,,,,,
Bpgm,1.00,0.98,,-1.03,0.45,,,,,
Bpnt1,-1.01,0.96,,1.03,0.70,,,,,
Brap,1.14,0.06,,1.14,0.05,,,,,
Brcc3,1.17,0.09,,1.43,0.00,,,,,
Brd3,1.55,0.00,,1.68,0.00,,,,,
Brd4,1.18,0.05,,1.42,0.00,,,,,
Brd7,1.03,0.65,,1.10,0.19,,,,,
Brd8,1.19,0.01,,1.23,0.00,,,,,
Brd9,1.07,0.27,,1.08,0.22,,,,,
Brf2,1.09,0.14,,1.03,0.54,,,,,
Bri3,-1.13,0.27,,-1.27,0.07,,,,,
Brix1,1.14,0.11,,1.25,0.02,,,,,
Brk1,-1.03,0.60,,1.01,0.86,,,,,
Brms1l,1.14,0.16,,1.43,0.00,,,,,
Brox,1.29,0.01,,1.54,0.00,,,,,
Brpf1,1.26,0.01,,1.30,0.01,,,,,
Brsk1,1.16,0.03,,1.04,0.45,,,,,
Bscl2,-1.10,0.04,,-1.12,0.02,,,,,
Bsdc1,1.10,0.08,,1.10,0.08,,,,,
Bsg,-1.09,0.05,,-1.20,0.00,,,,,
Bsn,1.28,0.02,,1.56,0.00,,,,,
Bspry,1.18,0.07,,1.02,0.71,,,,,
Bst2,-1.19,0.41,,-1.19,0.46,,,,,
Btbd1,1.21,0.02,,1.48,0.00,,,,,
Btbd17,-1.01,0.85,,-1.26,0.00,,,,,
Btbd3,1.99,0.00,,2.26,0.00,,,,,
Btbd6,-1.03,0.50,,-1.03,0.40,,,,,
Btf3,1.07,0.25,,-1.00,0.93,,,,,
Btg1,-1.01,0.97,,1.30,0.03,,,,,
Btg2,1.14,0.04,,1.13,0.06,,,,,
Btg3,-1.01,0.93,,1.10,0.31,,,,,
Bub3,1.11,0.04,,1.05,0.31,,,,,
Bud31,-1.03,0.49,,-1.08,0.08,,,,,
Bysl,1.45,0.00,,1.38,0.00,,,,,
Bzw1,1.41,0.00,,1.73,0.00,,,,,
C1d,-1.18,0.23,,-1.01,0.99,,,,,
C1galt1c1,1.19,0.03,,1.44,0.00,,,,,
C1qa,-1.12,0.07,,-1.24,0.00,,,,,
C1qb,-1.14,0.06,,-1.28,0.00,,,,,
C1qbp,-1.03,0.58,,-1.05,0.36,,,,,
C1qc,-1.12,0.18,,-1.44,0.00,,,,,
C1ql1,-1.08,0.29,,-1.28,0.00,,,,,
C1ql2,-1.00,0.92,,-1.08,0.84,,,,,
C1ql3,1.19,0.08,,1.46,0.00,,,,,
C1qtnf4,-1.14,0.06,,-1.27,0.00,,,,,
C1qtnf5,-1.00,0.97,,-1.22,0.07,,,,,
C1r,1.29,0.06,,1.10,0.44,,,,,
C2cd2l,1.10,0.04,,1.10,0.04,,,,,
C2cd4c,-1.04,0.63,,1.09,0.35,,,,,
Cab39,1.11,0.22,,1.30,0.01,,,,,
Cabp1,1.08,0.46,,-1.23,0.03,,,,,
Cabp7,1.27,0.05,,1.07,0.57,,,,,
Cacna1h,1.37,0.00,,1.48,0.00,,,,,
Cacnb1,1.05,0.33,,1.10,0.07,,,,,
Cacnb3,1.07,0.21,,1.05,0.35,,,,,
Cacng7,1.58,0.00,,1.47,0.00,,,,,
Cacng8,1.35,0.01,,1.24,0.04,,,,,
Cactin,1.09,0.19,,1.07,0.26,,,,,
Cacybp,1.01,0.86,,1.30,0.02,,,,,
Cadm3,1.65,0.00,,1.66,0.00,,,,,
Cadm4,1.15,0.04,,1.05,0.36,,,,,
Calb1,-1.06,0.68,,1.31,0.04,,,,,
Calhm2,-1.07,0.18,,-1.03,0.58,,,,,
Calm1,1.30,0.00,,1.51,0.00,,,,,
Calm2,-1.03,0.70,,1.12,0.08,,,,,
Calm3,1.19,0.03,,1.00,0.90,,,,,
Calr,-1.05,0.20,,1.02,0.64,,,,,
Calu,1.22,0.02,,1.27,0.01,,,,,
Caly,-1.17,0.00,,-1.22,0.00,,,,,
Camk1,-1.17,0.05,,-1.13,0.12,,,,,
Camk1g,1.04,0.67,,1.06,0.48,,,,,
Camk2a,1.95,0.00,,1.79,0.00,,,,,
Camk2b,1.25,0.02,,1.16,0.09,,,,,
Camk2g,1.62,0.00,,1.65,0.00,,,,,
Camk2n1,1.04,0.39,,1.04,0.38,,,,,
Camk2n2,1.04,0.55,,-1.11,0.23,,,,,
Camkk1,1.22,0.03,,1.19,0.06,,,,,
Camkv,1.13,0.03,,1.21,0.00,,,,,
Camlg,1.00,0.99,,-1.01,0.89,,,,,
Camsap1,1.40,0.00,,1.54,0.00,,,,,
Camsap2,1.42,0.01,,1.83,0.00,,,,,
Camsap3,1.07,0.30,,1.15,0.07,,,,,
Camta2,1.41,0.00,,1.35,0.01,,,,,
Cand1,1.42,0.01,,1.83,0.00,,,,,
Cant1,1.08,0.11,,1.03,0.50,,,,,
Canx,1.26,0.03,,1.66,0.00,,,,,
Cap1,1.19,0.00,,1.18,0.00,,,,,
Capn10,-1.02,0.79,,1.00,0.90,,,,,
Capn15,1.30,0.01,,1.32,0.01,,,,,
Capn2,1.15,0.07,,1.28,0.00,,,,,
Capn5,1.24,0.04,,1.19,0.08,,,,,
Capns1,-1.19,0.03,,1.04,0.52,,,,,
Caprin1,1.40,0.00,,1.72,0.00,,,,,
Capza1,1.19,0.06,,1.51,0.00,,,,,
Capza2,1.18,0.11,,1.47,0.00,,,,,
Capzb,1.08,0.18,,1.04,0.42,,,,,
Car11,1.07,0.13,,-1.02,0.57,,,,,
Car2,1.14,0.17,,-1.07,0.76,,,,,
Car4,1.01,0.79,,-1.15,0.05,,,,,
Car7,1.17,0.11,,1.03,0.71,,,,,
Carhsp1,1.22,0.01,,1.04,0.48,,,,,
Carm1,1.18,0.01,,1.23,0.00,,,,,
Carmil3,1.35,0.01,,1.37,0.00,,,,,
Cartpt,-1.62,0.05,,-1.06,0.77,,,,,
Casc3,1.48,0.00,,1.56,0.00,,,,,
Casc4,1.17,0.06,,1.49,0.00,,,,,
Caskin1,1.30,0.02,,1.35,0.01,,,,,
Caskin2,1.27,0.01,,1.21,0.04,,,,,
Casp9,1.11,0.08,,1.11,0.08,,,,,
Cat,1.20,0.06,,1.44,0.00,,,,,
Cav2,1.14,0.34,,1.47,0.02,,,,,
Cbarp,1.06,0.26,,1.04,0.49,,,,,
Cbll1,1.22,0.07,,1.51,0.00,,,,,
Cbln1,-2.01,0.02,,-1.09,0.81,,,,,
Cbln2,-1.17,0.35,,1.32,0.13,,,,,
Cbln4,-1.85,0.09,,1.46,0.23,,,,,
Cbs,1.10,0.23,,1.01,0.87,,,,,
Cbx3,-1.05,0.80,,1.36,0.04,,,,,
Cbx5,1.22,0.01,,1.20,0.01,,,,,
Cbx6,1.25,0.00,,1.33,0.00,,,,,
Cbx7,1.16,0.03,,1.09,0.16,,,,,
Cbx8,-1.03,0.65,,-1.06,0.43,,,,,
Cby1,-1.01,0.82,,-1.07,0.29,,,,,
Cc2d1a,1.15,0.05,,1.10,0.15,,,,,
Cc2d1b,1.18,0.06,,1.12,0.17,,,,,
Ccar2,1.14,0.02,,1.19,0.00,,,,,
Ccdc115,1.19,0.03,,1.13,0.10,,,,,
Ccdc117,1.12,0.24,,1.70,0.00,,,,,
Ccdc124,-1.16,0.01,,-1.29,0.00,,,,,
Ccdc127,1.42,0.02,,1.54,0.00,,,,,
Ccdc130,1.09,0.44,,-1.06,0.66,,,,,
Ccdc137,-1.03,0.65,,1.05,0.30,,,,,
Ccdc181,1.14,0.04,,1.08,0.20,,,,,
Ccdc184,1.08,0.13,,1.02,0.73,,,,,
Ccdc22,1.25,0.00,,1.07,0.29,,,,,
Ccdc25,1.15,0.08,,1.36,0.00,,,,,
Ccdc28a,1.02,0.71,,-1.07,0.18,,,,,
Ccdc28b,-1.14,0.04,,-1.10,0.10,,,,,
Ccdc32,-1.01,0.88,,1.07,0.20,,,,,
Ccdc43,1.01,0.79,,1.35,0.01,,,,,
Ccdc47,1.24,0.02,,1.42,0.00,,,,,
Ccdc59,1.02,0.81,,1.14,0.07,,,,,
Ccdc65,1.06,0.32,,-1.09,0.16,,,,,
Ccdc71,1.31,0.00,,1.29,0.00,,,,,
Ccdc8,1.36,0.04,,1.43,0.02,,,,,
Ccdc86,1.05,0.40,,1.04,0.52,,,,,
Ccdc92,1.05,0.45,,1.03,0.61,,,,,
Ccdc94,1.04,0.66,,1.07,0.36,,,,,
Ccdc97,-1.02,0.67,,-1.09,0.10,,,,,
Cck,-1.34,0.00,,-1.32,0.00,,,,,
Ccl27,-1.29,0.03,,-1.31,0.02,,,,,
Ccnc,1.07,0.51,,1.39,0.01,,,,,
Ccnd1,1.20,0.03,,1.17,0.05,,,,,
Ccnd2,2.22,0.00,,2.23,0.00,,,,,
Ccnd3,-1.06,0.22,,-1.03,0.53,,,,,
Ccndbp1,1.09,0.24,,1.17,0.04,,,,,
Ccne1,-1.04,0.61,,1.17,0.05,,,,,
Ccng1,1.23,0.04,,1.38,0.00,,,,,
Ccng2,1.01,0.86,,1.37,0.01,,,,,
Ccni,1.07,0.33,,1.19,0.03,,,,,
Ccnk,1.06,0.48,,1.11,0.14,,,,,
Ccnl1,1.29,0.01,,1.41,0.00,,,,,
Ccnl2,1.85,0.00,,2.07,0.00,,,,,
Ccp110,1.51,0.00,,1.48,0.00,,,,,
Ccpg1,1.19,0.07,,1.30,0.01,,,,,
Ccr5,1.46,0.13,,1.79,0.02,,,,,
Ccsap,1.21,0.03,,1.33,0.00,,,,,
Cct2,1.05,0.42,,1.17,0.03,,,,,
Cct3,1.00,0.98,,1.03,0.52,,,,,
Cct4,-1.00,0.93,,1.10,0.10,,,,,
Cct5,1.07,0.14,,1.13,0.02,,,,,
Cct6a,1.13,0.09,,1.29,0.00,,,,,
Cct7,1.01,0.76,,1.06,0.20,,,,,
Cct8,1.16,0.06,,1.40,0.00,,,,,
Cd164,1.21,0.12,,1.64,0.00,,,,,
Cd200,1.04,0.64,,1.38,0.00,,,,,
Cd24,1.17,0.02,,1.24,0.00,,,,,
Cd2bp2,1.29,0.00,,1.28,0.00,,,,,
Cd320,1.08,0.28,,-1.10,0.23,,,,,
Cd3eap,-1.03,0.65,,-1.06,0.45,,,,,
Cd59,1.12,0.10,,1.00,0.97,,,,,
Cd63,-1.03,0.77,,-1.19,0.13,,,,,
Cd74,-1.01,0.94,,-1.19,0.55,,,,,
Cd81,-1.01,0.97,,-1.06,0.33,,,,,
Cd83,1.02,0.74,,1.03,0.62,,,,,
Cd9,-1.03,0.88,,-1.35,0.01,,,,,
Cd93,2.22,0.00,,1.98,0.00,,,,,
Cd99,-1.14,0.16,,-1.59,0.00,,,,,
Cdadc1,1.13,0.11,,1.18,0.03,,,,,
Cdc16,1.15,0.10,,1.25,0.01,,,,,
Cdc23,1.64,0.00,,1.67,0.00,,,,,
Cdc25b,1.50,0.00,,1.40,0.00,,,,,
Cdc26,1.04,0.58,,1.10,0.24,,,,,
Cdc34,-1.15,0.01,,-1.25,0.00,,,,,
Cdc37,-1.04,0.43,,-1.13,0.01,,,,,
Cdc37l1,1.26,0.02,,1.45,0.00,,,,,
Cdc42,1.20,0.05,,1.38,0.00,,,,,
Cdc42bpb,1.39,0.00,,1.43,0.00,,,,,
Cdc42ep1,1.22,0.02,,-1.10,0.30,,,,,
Cdc42ep2,1.03,0.70,,-1.11,0.19,,,,,
Cdc42ep4,1.18,0.03,,1.14,0.07,,,,,
Cdc42ep5,-1.06,0.79,,-1.78,0.00,,,,,
Cdc42se1,1.11,0.03,,1.10,0.03,,,,,
Cdc42se2,1.12,0.03,,1.10,0.05,,,,,
Cdc5l,1.12,0.13,,1.25,0.01,,,,,
Cdip1,1.08,0.15,,1.04,0.48,,,,,
Cdipt,1.01,0.71,,-1.04,0.28,,,,,
Cdk10,1.05,0.25,,-1.05,0.26,,,,,
Cdk11b,1.08,0.18,,1.15,0.04,,,,,
Cdk16,1.15,0.02,,1.07,0.18,,,,,
Cdk17,1.22,0.05,,1.59,0.00,,,,,
Cdk18,1.31,0.10,,1.29,0.10,,,,,
Cdk20,1.01,0.94,,1.17,0.16,,,,,
Cdk2ap1,-1.02,0.68,,1.08,0.24,,,,,
Cdk2ap2,-1.15,0.02,,-1.21,0.00,,,,,
Cdk4,-1.07,0.19,,-1.11,0.05,,,,,
Cdk5,-1.03,0.54,,-1.08,0.09,,,,,
Cdk5r1,1.49,0.00,,1.57,0.00,,,,,
Cdk5r2,1.10,0.19,,-1.03,0.68,,,,,
Cdk5rap3,1.07,0.17,,-1.07,0.21,,,,,
Cdk9,-1.01,0.68,,-1.09,0.03,,,,,
Cdkl2,1.56,0.01,,2.02,0.00,,,,,
Cdkn1b,-1.00,0.94,,1.14,0.15,,,,,
Cdkn1c,1.29,0.76,,-1.54,0.30,,,,,
Cdkn2aip,1.45,0.00,,1.67,0.00,,,,,
Cdkn2aipnl,-1.12,0.02,,-1.04,0.40,,,,,
Cdo1,1.04,0.66,,1.08,0.29,,,,,
Cdpf1,-1.08,0.45,,-1.37,0.04,,,,,
Cebpa,1.20,0.06,,1.04,0.60,,,,,
Cebpb,1.14,0.32,,-1.12,0.41,,,,,
Cebpd,1.18,0.24,,-1.32,0.05,,,,,
Cebpg,1.35,0.01,,1.56,0.00,,,,,
Cebpz,1.30,0.01,,1.39,0.00,,,,,
Celf1,2.07,0.00,,2.62,0.00,,,,,
Celf3,1.26,0.00,,1.28,0.00,,,,,
Celf5,1.36,0.00,,1.46,0.00,,,,,
Celsr2,1.66,0.00,,2.09,0.00,,,,,
Celsr3,1.49,0.00,,1.69,0.00,,,,,
Cenps,-1.08,0.33,,-1.12,0.22,,,,,
Cep104,1.36,0.00,,1.45,0.00,,,,,
Cep131,1.22,0.02,,1.15,0.08,,,,,
Cep19,1.06,0.32,,1.04,0.48,,,,,
Cerk,1.19,0.03,,1.35,0.00,,,,,
Cers1,1.14,0.10,,1.05,0.50,,,,,
Cers2,1.22,0.01,,1.09,0.23,,,,,
Cfap20,-1.10,0.09,,-1.06,0.25,,,,,
Cfap36,-1.01,0.92,,1.01,0.86,,,,,
Cfl1,-1.04,0.21,,-1.07,0.05,,,,,
Cfl2,1.11,0.22,,1.31,0.01,,,,,
Cfp,1.06,0.51,,-1.00,0.97,,,,,
Cggbp1,1.03,0.78,,1.69,0.00,,,,,
Cgref1,-1.09,0.13,,-1.15,0.02,,,,,
Ch25h,1.69,0.17,,1.09,0.91,,,,,
Chac1,-1.17,0.00,,-1.09,0.09,,,,,
Champ1,1.17,0.03,,1.31,0.00,,,,,
Chchd1,-1.10,0.26,,-1.02,0.78,,,,,
Chchd10,-1.17,0.01,,-1.40,0.00,,,,,
Chchd4,-1.10,0.13,,1.09,0.21,,,,,
Chchd5,1.03,0.99,,-1.21,0.10,,,,,
Chd5,1.96,0.00,,2.42,0.00,,,,,
Chd8,1.34,0.01,,1.59,0.00,,,,,
Cherp,1.16,0.02,,1.20,0.01,,,,,
Chga,-1.04,0.51,,-1.02,0.81,,,,,
Chgb,1.12,0.18,,1.14,0.12,,,,,
Chi3l1,1.18,0.01,,1.00,0.91,,,,,
Chkb,-1.01,0.85,,-1.07,0.15,,,,,
Chmp1a,1.01,0.82,,-1.03,0.58,,,,,
Chmp1b,1.06,0.41,,1.13,0.16,,,,,
Chmp2a,-1.08,0.12,,-1.16,0.00,,,,,
Chmp3,-1.06,0.23,,-1.15,0.01,,,,,
Chmp4bl1,-1.04,0.28,,-1.10,0.03,,,,,
Chmp5,-1.09,0.18,,1.12,0.10,,,,,
Chmp6,-1.09,0.09,,-1.17,0.01,,,,,
Chmp7,1.13,0.02,,1.14,0.01,,,,,
Chn1,1.16,0.06,,1.24,0.01,,,,,
Chordc1,1.08,0.45,,1.50,0.00,,,,,
Chp1,1.11,0.13,,1.30,0.00,,,,,
Chpf,1.09,0.17,,1.02,0.68,,,,,
Chpf2,1.43,0.00,,1.31,0.01,,,,,
Chrac1,1.00,1.00,,-1.19,0.01,,,,,
Chrd,1.33,0.00,,1.33,0.00,,,,,
Chrm1,1.37,0.01,,1.41,0.00,,,,,
Chrm4,-1.10,0.10,,1.19,0.01,,,,,
Chrnb2,1.69,0.00,,1.88,0.00,,,,,
Chst1,1.07,0.26,,1.06,0.37,,,,,
Chst10,-1.01,0.87,,1.11,0.13,,,,,
Chst12,1.05,0.31,,-1.05,0.33,,,,,
Chtf8,1.12,0.08,,1.18,0.02,,,,,
Ciao1,-1.04,0.52,,1.03,0.62,,,,,
Ciapin1,1.14,0.11,,1.25,0.01,,,,,
Ciart,-1.07,0.40,,-1.12,0.17,,,,,
Cib1,-1.13,0.11,,-1.33,0.00,,,,,
Cib2,-1.03,0.55,,-1.11,0.07,,,,,
Cinp,1.11,0.06,,1.18,0.01,,,,,
Cipc,1.21,0.01,,1.41,0.00,,,,,
Cirbp,1.26,0.00,,-1.02,0.83,,,,,
Cisd1,1.08,0.18,,-1.01,0.89,,,,,
Cisd2,1.03,0.68,,1.21,0.05,,,,,
Cisd3,-1.14,0.06,,-1.21,0.01,,,,,
Cited2,1.10,0.13,,1.20,0.01,,,,,
Ciz1,1.35,0.00,,1.23,0.02,,,,,
Ckap4,1.06,0.34,,1.06,0.29,,,,,
Ckb,-1.03,0.32,,-1.15,0.00,,,,,
Ckmt1,-1.02,0.70,,-1.00,0.99,,,,,
Cks1b,-1.04,0.76,,1.03,0.65,,,,,
Clasp2,1.32,0.01,,1.62,0.00,,,,,
Clasrp,1.36,0.00,,1.10,0.25,,,,,
Clcc1,1.20,0.03,,1.31,0.00,,,,,
Clcn3,1.54,0.00,,1.98,0.00,,,,,
Clcn4,1.45,0.01,,1.89,0.00,,,,,
Clcn6,1.50,0.00,,1.60,0.00,,,,,
Clcn7,1.47,0.00,,1.46,0.00,,,,,
Cldn11,1.25,0.09,,1.02,0.83,,,,,
Cldn12,1.04,0.75,,1.43,0.00,,,,,
Cldn3,-1.12,0.66,,-1.04,0.89,,,,,
Cldn5,1.07,0.38,,-1.18,0.03,,,,,
Cldn9,-1.30,0.00,,-1.27,0.00,,,,,
Cldnd1,1.06,0.38,,1.19,0.02,,,,,
Clec11a,1.29,0.00,,1.38,0.00,,,,,
Clec14a,1.16,0.49,,1.23,0.33,,,,,
Clec2l,1.08,0.22,,-1.11,0.11,,,,,
Clic1,1.06,0.58,,-1.18,0.11,,,,,
Clip2,1.29,0.01,,1.27,0.01,,,,,
Clk1,1.34,0.03,,1.67,0.00,,,,,
Clk2,1.10,0.20,,1.19,0.03,,,,,
Clk3,1.21,0.00,,1.11,0.08,,,,,
Cln3,1.07,0.47,,-1.02,0.85,,,,,
Cln6,1.03,0.51,,-1.02,0.75,,,,,
Cln8,-1.02,0.79,,1.05,0.41,,,,,
Clns1a,1.02,0.73,,1.10,0.10,,,,,
Clp1,-1.04,0.51,,1.08,0.20,,,,,
Clptm1,1.03,0.55,,1.03,0.44,,,,,
Clptm1l,-1.00,0.93,,1.03,0.52,,,,,
Clstn1,1.20,0.01,,1.22,0.01,,,,,
Clstn3,1.28,0.00,,1.30,0.00,,,,,
Clta,-1.10,0.02,,-1.15,0.00,,,,,
Cltb,-1.18,0.00,,-1.31,0.00,,,,,
Cltc,1.33,0.02,,1.84,0.00,,,,,
Clu,-1.01,0.96,,-1.17,0.09,,,,,
Cluap1,-1.04,0.49,,-1.03,0.53,,,,,
Cluh,1.19,0.03,,1.27,0.01,,,,,
Cmas,1.04,0.44,,1.14,0.02,,,,,
Cmpk1,-1.01,0.96,,1.46,0.01,,,,,
Cmpk2,1.20,0.04,,1.19,0.03,,,,,
Cmtm5,1.08,0.20,,-1.08,0.21,,,,,
Cmtr1,1.16,0.02,,1.14,0.05,,,,,
Cmtr2,1.15,0.09,,1.46,0.00,,,,,
Cnbp,1.05,0.47,,1.12,0.13,,,,,
Cndp2,1.09,0.11,,1.02,0.67,,,,,
Cnih1,1.06,0.30,,1.14,0.06,,,,,
Cnih2,1.08,0.40,,-1.16,0.09,,,,,
Cnn3,1.14,0.09,,1.14,0.11,,,,,
Cnnm1,1.51,0.00,,1.55,0.00,,,,,
Cnnm3,1.21,0.00,,1.13,0.04,,,,,
Cnot11,1.06,0.37,,1.21,0.01,,,,,
Cnot3,1.27,0.01,,1.27,0.01,,,,,
Cnot7,1.09,0.38,,1.52,0.00,,,,,
Cnot8,1.03,0.67,,1.15,0.08,,,,,
Cnot9,1.06,0.38,,1.27,0.00,,,,,
Cnp,1.23,0.05,,-1.08,0.51,,,,,
Cnppd1,1.05,0.31,,1.05,0.33,,,,,
Cnpy2,-1.07,0.20,,-1.09,0.14,,,,,
Cnpy3,-1.09,0.05,,-1.18,0.00,,,,,
Cnpy4,-1.02,0.77,,-1.01,0.96,,,,,
Cnr1,1.38,0.01,,1.85,0.00,,,,,
Cnrip1,1.07,0.16,,1.09,0.09,,,,,
Cntf,1.08,0.74,,1.21,0.24,,,,,
Cntfr,1.10,0.15,,1.13,0.07,,,,,
Cntn1,1.63,0.01,,1.84,0.00,,,,,
Cntn2,1.77,0.00,,1.78,0.00,,,,,
Cntnap1,1.40,0.00,,1.40,0.00,,,,,
Coa3,-1.20,0.00,,-1.15,0.00,,,,,
Coa4,1.13,0.14,,1.06,0.41,,,,,
Coa5,1.14,0.05,,1.38,0.00,,,,,
Coasy,1.24,0.00,,1.20,0.01,,,,,
Cog1,1.40,0.00,,1.39,0.00,,,,,
Cog2,1.39,0.00,,1.28,0.00,,,,,
Cog4,1.17,0.04,,1.24,0.01,,,,,
Cog8,1.06,0.34,,-1.01,0.89,,,,,
Col11a2,1.81,0.00,,1.48,0.00,,,,,
Col6a2,1.82,0.01,,1.44,0.04,,,,,
Colgalt1,1.21,0.00,,1.12,0.06,,,,,
Commd2,-1.01,0.83,,-1.01,0.82,,,,,
Commd3,1.02,0.63,,1.01,0.88,,,,,
Commd4,-1.05,0.32,,-1.25,0.00,,,,,
Commd6,-1.07,0.26,,-1.02,0.74,,,,,
Commd7,-1.11,0.14,,-1.12,0.11,,,,,
Commd8,1.07,0.35,,1.05,0.45,,,,,
Commd9,-1.06,0.24,,-1.15,0.01,,,,,
Comt,1.06,0.23,,1.00,0.97,,,,,
Comtd1,-1.05,0.29,,-1.11,0.03,,,,,
Copa,1.19,0.03,,1.41,0.00,,,,,
Copb1,1.29,0.02,,1.62,0.00,,,,,
Copb2,1.34,0.00,,1.37,0.00,,,,,
Cope,-1.02,0.69,,-1.16,0.01,,,,,
Copg1,1.33,0.01,,1.43,0.00,,,,,
Coprs,-1.15,0.01,,-1.34,0.00,,,,,
Cops2,1.21,0.09,,1.72,0.00,,,,,
Cops3,1.09,0.18,,1.18,0.02,,,,,
Cops4,1.08,0.17,,1.06,0.28,,,,,
Cops5,-1.01,0.79,,1.02,0.74,,,,,
Cops6,-1.04,0.40,,-1.06,0.19,,,,,
Cops7a,-1.03,0.43,,-1.07,0.10,,,,,
Cops8,1.03,0.56,,1.07,0.14,,,,,
Cops9,-1.13,0.05,,-1.27,0.00,,,,,
Copz1,1.06,0.25,,1.02,0.59,,,,,
Coq10a,-1.04,0.39,,-1.02,0.69,,,,,
Coq2,1.06,0.25,,1.12,0.03,,,,,
Coq3,1.00,0.97,,1.08,0.32,,,,,
Coq5,1.08,0.34,,1.03,0.71,,,,,
Coq6,1.08,0.14,,1.00,0.90,,,,,
Coq8a,1.12,0.03,,1.06,0.20,,,,,
Coq8b,1.05,0.44,,-1.03,0.65,,,,,
Coq9,1.10,0.13,,1.05,0.37,,,,,
Coro1a,-1.08,0.24,,-1.11,0.09,,,,,
Coro1b,1.01,0.77,,-1.10,0.03,,,,,
Coro7,1.11,0.12,,1.04,0.53,,,,,
Cort,-1.39,0.05,,-1.73,0.00,,,,,
Cotl1,1.02,0.80,,-1.11,0.08,,,,,
Cox15,1.12,0.10,,1.27,0.00,,,,,
Cox17,-1.16,0.02,,-1.40,0.00,,,,,
Cox19,-1.07,0.21,,-1.00,0.96,,,,,
Cox20,1.34,0.00,,1.51,0.00,,,,,
Cox4i1,-1.15,0.01,,-1.23,0.00,,,,,
Cox5a,1.07,0.28,,-1.07,0.31,,,,,
Cox5b,-1.26,0.00,,-1.43,0.00,,,,,
Cox6a1,-1.23,0.00,,-1.35,0.00,,,,,
Cox6b2,1.25,0.24,,-1.44,0.06,,,,,
Cox6c,1.01,0.95,,1.03,0.62,,,,,
Cox7a2,-1.07,0.25,,-1.18,0.02,,,,,
Cox7a2l,-1.05,0.45,,-1.03,0.57,,,,,
Cox7b,-1.14,0.03,,-1.17,0.01,,,,,
Cox7c,-1.13,0.08,,-1.29,0.00,,,,,
Cox8a,-1.12,0.02,,-1.30,0.00,,,,,
Cpe,1.07,0.21,,1.12,0.04,,,,,
Cplx1,1.07,0.20,,-1.00,0.99,,,,,
Cplx2,2.36,0.00,,2.16,0.00,,,,,
Cpne2,1.07,0.61,,1.08,0.43,,,,,
Cpne6,1.08,0.22,,1.02,0.83,,,,,
Cpne7,1.09,0.29,,1.02,0.82,,,,,
Cpox,1.14,0.07,,1.11,0.14,,,,,
Cpsf1,1.31,0.00,,1.30,0.00,,,,,
Cpsf2,1.36,0.00,,1.53,0.00,,,,,
Cpsf3,1.31,0.01,,1.24,0.02,,,,,
Cpsf6,1.29,0.05,,1.92,0.00,,,,,
Cpsf7,1.28,0.00,,1.38,0.00,,,,,
Cpt1c,1.19,0.02,,1.12,0.10,,,,,
Cptp,-1.05,0.28,,-1.03,0.54,,,,,
Crat,1.21,0.01,,1.19,0.02,,,,,
Crbn,1.54,0.00,,1.97,0.00,,,,,
Creb3,1.03,0.43,,-1.04,0.29,,,,,
Crebl2,1.18,0.02,,1.31,0.00,,,,,
Crebzf,1.20,0.04,,1.25,0.01,,,,,
Creg1,1.04,0.56,,1.13,0.07,,,,,
Creld1,-1.03,0.44,,-1.09,0.07,,,,,
Creld2,-1.01,0.85,,-1.11,0.12,,,,,
