Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle)
Car7,1.17,0.11,1.03,0.71
Carhsp1,1.22,0.01,1.04,0.48
Carm1,1.18,0.01,1.23,0.0
Carmil3,1.35,0.01,1.37,0.0
Cartpt,-1.62,0.05,-1.06,0.77
Casc3,1.48,0.0,1.56,0.0
Casc4,1.17,0.06,1.49,0.0
Caskin1,1.3,0.02,1.35,0.01
Caskin2,1.27,0.01,1.21,0.04
Casp9,1.11,0.08,1.11,0.08
Cat,1.2,0.06,1.44,0.0
Cav2,1.14,0.34,1.47,0.02
Cbarp,1.06,0.26,1.04,0.49
Cbll1,1.22,0.07,1.51,0.0
Cbln1,-2.01,0.02,-1.09,0.81
Cbln2,-1.17,0.35,1.32,0.13
Cbln4,-1.85,0.09,1.46,0.23
Cbs,1.1,0.23,1.01,0.87
Cbx3,-1.05,0.8,1.36,0.04
Cbx5,1.22,0.01,1.2,0.01
Cbx6,1.25,0.0,1.33,0.0
Cbx7,1.16,0.03,1.09,0.16
Cbx8,-1.03,0.65,-1.06,0.43
Cby1,-1.01,0.82,-1.07,0.29
Cc2d1a,1.15,0.05,1.1,0.15
Cc2d1b,1.18,0.06,1.12,0.17
Ccar2,1.14,0.02,1.19,0.0
Ccdc115,1.19,0.03,1.13,0.1
Ccdc117,1.12,0.24,1.7,0.0
Ccdc124,-1.16,0.01,-1.29,0.0
Ccdc127,1.42,0.02,1.54,0.0
Ccdc130,1.09,0.44,-1.06,0.66
Ccdc137,-1.03,0.65,1.05,0.3
Ccdc181,1.14,0.04,1.08,0.2
Ccdc184,1.08,0.13,1.02,0.73
Ccdc22,1.25,0.0,1.07,0.29
Ccdc25,1.15,0.08,1.36,0.0
Ccdc28a,1.02,0.71,-1.07,0.18
Ccdc28b,-1.14,0.04,-1.1,0.1
Ccdc32,-1.01,0.88,1.07,0.2
Ccdc43,1.01,0.79,1.35,0.01
Ccdc47,1.24,0.02,1.42,0.0
Ccdc59,1.02,0.81,1.14,0.07
Ccdc65,1.06,0.32,-1.09,0.16
Ccdc71,1.31,0.0,1.29,0.0
Ccdc8,1.36,0.04,1.43,0.02
Ccdc86,1.05,0.4,1.04,0.52
Ccdc92,1.05,0.45,1.03,0.61
Ccdc94,1.04,0.66,1.07,0.36
Ccdc97,-1.02,0.67,-1.09,0.1
Cck,-1.34,0.0,-1.32,0.0
Ccl27,-1.29,0.03,-1.31,0.02
Ccnc,1.07,0.51,1.39,0.01
Ccnd1,1.2,0.03,1.17,0.05
Ccnd2,2.22,0.0,2.23,0.0
Ccnd3,-1.06,0.22,-1.03,0.53
Ccndbp1,1.09,0.24,1.17,0.04
Ccne1,-1.04,0.61,1.17,0.05
Ccng1,1.23,0.04,1.38,0.0
Ccng2,1.01,0.86,1.37,0.01
Ccni,1.07,0.33,1.19,0.03
Ccnk,1.06,0.48,1.11,0.14
Ccnl1,1.29,0.01,1.41,0.0
Ccnl2,1.85,0.0,2.07,0.0
Ccp110,1.51,0.0,1.48,0.0
Ccpg1,1.19,0.07,1.3,0.01
Ccr5,1.46,0.13,1.79,0.02
Ccsap,1.21,0.03,1.33,0.0
Cct2,1.05,0.42,1.17,0.03
Cct3,1.0,0.98,1.03,0.52
Cct4,-1.0,0.93,1.1,0.1
Cct5,1.07,0.14,1.13,0.02
Cct6a,1.13,0.09,1.29,0.0
Cct7,1.01,0.76,1.06,0.2
Cct8,1.16,0.06,1.4,0.0
Cd164,1.21,0.12,1.64,0.0
Cd200,1.04,0.64,1.38,0.0
Cd24,1.17,0.02,1.24,0.0
Cd2bp2,1.29,0.0,1.28,0.0
Cd320,1.08,0.28,-1.1,0.23
Cd3eap,-1.03,0.65,-1.06,0.45
Cd59,1.12,0.1,1.0,0.97
Cd63,-1.03,0.77,-1.19,0.13
Cd74,-1.01,0.94,-1.19,0.55
Cd81,-1.01,0.97,-1.06,0.33
Cd83,1.02,0.74,1.03,0.62
Cd9,-1.03,0.88,-1.35,0.01
Cd93,2.22,0.0,1.98,0.0
Cd99,-1.14,0.16,-1.59,0.0
Cdadc1,1.13,0.11,1.18,0.03
Cdc16,1.15,0.1,1.25,0.01
Cdc23,1.64,0.0,1.67,0.0
Cdc25b,1.5,0.0,1.4,0.0
Cdc26,1.04,0.58,1.1,0.24
Cdc34,-1.15,0.01,-1.25,0.0
Cdc37,-1.04,0.43,-1.13,0.01
Cdc37l1,1.26,0.02,1.45,0.0
Cdc42,1.2,0.05,1.38,0.0
Cdc42bpb,1.39,0.0,1.43,0.0
Cdc42ep1,1.22,0.02,-1.1,0.3
Cdc42ep2,1.03,0.7,-1.11,0.19
Cdc42ep4,1.18,0.03,1.14,0.07
Cdc42ep5,-1.06,0.79,-1.78,0.0
Cdc42se1,1.11,0.03,1.1,0.03
Cdc42se2,1.12,0.03,1.1,0.05
Cdc5l,1.12,0.13,1.25,0.01
Cdip1,1.08,0.15,1.04,0.48
Cdipt,1.01,0.71,-1.04,0.28
Cdk10,1.05,0.25,-1.05,0.26
Cdk11b,1.08,0.18,1.15,0.04
Cdk16,1.15,0.02,1.07,0.18
Cdk17,1.22,0.05,1.59,0.0
Cdk18,1.31,0.1,1.29,0.1
Cdk20,1.01,0.94,1.17,0.16
Cdk2ap1,-1.02,0.68,1.08,0.24
Cdk2ap2,-1.15,0.02,-1.21,0.0
Cdk4,-1.07,0.19,-1.11,0.05
Cdk5,-1.03,0.54,-1.08,0.09
Cdk5r1,1.49,0.0,1.57,0.0
Cdk5r2,1.1,0.19,-1.03,0.68
Cdk5rap3,1.07,0.17,-1.07,0.21
Cdk9,-1.01,0.68,-1.09,0.03
Cdkl2,1.56,0.01,2.02,0.0
Cdkn1b,-1.0,0.94,1.14,0.15
Cdkn1c,1.29,0.76,-1.54,0.3
Cdkn2aip,1.45,0.0,1.67,0.0
Cdkn2aipnl,-1.12,0.02,-1.04,0.4
Cdo1,1.04,0.66,1.08,0.29
Cdpf1,-1.08,0.45,-1.37,0.04
Cebpa,1.2,0.06,1.04,0.6
Cebpb,1.14,0.32,-1.12,0.41
Cebpd,1.18,0.24,-1.32,0.05
Cebpg,1.35,0.01,1.56,0.0
Cebpz,1.3,0.01,1.39,0.0
Celf1,2.07,0.0,2.62,0.0
Celf3,1.26,0.0,1.28,0.0
Celf5,1.36,0.0,1.46,0.0
Celsr2,1.66,0.0,2.09,0.0
Celsr3,1.49,0.0,1.69,0.0
Cenps,-1.08,0.33,-1.12,0.22
Cep104,1.36,0.0,1.45,0.0
Cep131,1.22,0.02,1.15,0.08
Cep19,1.06,0.32,1.04,0.48
Cerk,1.19,0.03,1.35,0.0
Cers1,1.14,0.1,1.05,0.5
Cers2,1.22,0.01,1.09,0.23
Cfap20,-1.1,0.09,-1.06,0.25
Cfap36,-1.01,0.92,1.01,0.86
Cfl1,-1.04,0.21,-1.07,0.05
Cfl2,1.11,0.22,1.31,0.01
Cfp,1.06,0.51,-1.0,0.97
Cggbp1,1.03,0.78,1.69,0.0
Cgref1,-1.09,0.13,-1.15,0.02
Ch25h,1.69,0.17,1.09,0.91
Chac1,-1.17,0.0,-1.09,0.09
Champ1,1.17,0.03,1.31,0.0
Chchd1,-1.1,0.26,-1.02,0.78
Chchd10,-1.17,0.01,-1.4,0.0
Chchd4,-1.1,0.13,1.09,0.21
Chchd5,1.03,0.99,-1.21,0.1
Chd5,1.96,0.0,2.42,0.0
Chd8,1.34,0.01,1.59,0.0
Cherp,1.16,0.02,1.2,0.01
Chga,-1.04,0.51,-1.02,0.81
Chgb,1.12,0.18,1.14,0.12
Chi3l1,1.18,0.01,1.0,0.91
Chkb,-1.01,0.85,-1.07,0.15
Chmp1a,1.01,0.82,-1.03,0.58
Chmp1b,1.06,0.41,1.13,0.16
Chmp2a,-1.08,0.12,-1.16,0.0
Chmp3,-1.06,0.23,-1.15,0.01
Chmp4bl1,-1.04,0.28,-1.1,0.03
Chmp5,-1.09,0.18,1.12,0.1
Chmp6,-1.09,0.09,-1.17,0.01
Chmp7,1.13,0.02,1.14,0.01
Chn1,1.16,0.06,1.24,0.01
Chordc1,1.08,0.45,1.5,0.0
Chp1,1.11,0.13,1.3,0.0
Chpf,1.09,0.17,1.02,0.68
Chpf2,1.43,0.0,1.31,0.01
Chrac1,1.0,1.0,-1.19,0.01
Chrd,1.33,0.0,1.33,0.0
Chrm1,1.37,0.01,1.41,0.0
Chrm4,-1.1,0.1,1.19,0.01
Chrnb2,1.69,0.0,1.88,0.0
Chst1,1.07,0.26,1.06,0.37
Chst10,-1.01,0.87,1.11,0.13
Chst12,1.05,0.31,-1.05,0.33
Chtf8,1.12,0.08,1.18,0.02
Ciao1,-1.04,0.52,1.03,0.62
Ciapin1,1.14,0.11,1.25,0.01
Ciart,-1.07,0.4,-1.12,0.17
Cib1,-1.13,0.11,-1.33,0.0
Cib2,-1.03,0.55,-1.11,0.07
Cinp,1.11,0.06,1.18,0.01
Cipc,1.21,0.01,1.41,0.0
Cirbp,1.26,0.0,-1.02,0.83
Cisd1,1.08,0.18,-1.01,0.89
Cisd2,1.03,0.68,1.21,0.05
Cisd3,-1.14,0.06,-1.21,0.01
Cited2,1.1,0.13,1.2,0.01
Ciz1,1.35,0.0,1.23,0.02
Ckap4,1.06,0.34,1.06,0.29
Ckb,-1.03,0.32,-1.15,0.0
Ckmt1,-1.02,0.7,-1.0,0.99
Cks1b,-1.04,0.76,1.03,0.65
Clasp2,1.32,0.01,1.62,0.0
Clasrp,1.36,0.0,1.1,0.25
Clcc1,1.2,0.03,1.31,0.0
Clcn3,1.54,0.0,1.98,0.0
Clcn4,1.45,0.01,1.89,0.0
Clcn6,1.5,0.0,1.6,0.0
Clcn7,1.47,0.0,1.46,0.0
Cldn11,1.25,0.09,1.02,0.83
Cldn12,1.04,0.75,1.43,0.0
Cldn3,-1.12,0.66,-1.04,0.89
Cldn5,1.07,0.38,-1.18,0.03
Cldn9,-1.3,0.0,-1.27,0.0
Cldnd1,1.06,0.38,1.19,0.02
Clec11a,1.29,0.0,1.38,0.0
Clec14a,1.16,0.49,1.23,0.33
Clec2l,1.08,0.22,-1.11,0.11
Clic1,1.06,0.58,-1.18,0.11
Clip2,1.29,0.01,1.27,0.01
Clk1,1.34,0.03,1.67,0.0
Clk2,1.1,0.2,1.19,0.03
Clk3,1.21,0.0,1.11,0.08
Cln3,1.07,0.47,-1.02,0.85
Cln6,1.03,0.51,-1.02,0.75
Cln8,-1.02,0.79,1.05,0.41
Clns1a,1.02,0.73,1.1,0.1
Clp1,-1.04,0.51,1.08,0.2
Clptm1,1.03,0.55,1.03,0.44
Clptm1l,-1.0,0.93,1.03,0.52
Clstn1,1.2,0.01,1.22,0.01
Clstn3,1.28,0.0,1.3,0.0
Clta,-1.1,0.02,-1.15,0.0
Cltb,-1.18,0.0,-1.31,0.0
Cltc,1.33,0.02,1.84,0.0
Clu,-1.01,0.96,-1.17,0.09
Cluap1,-1.04,0.49,-1.03,0.53
Cluh,1.19,0.03,1.27,0.01
Cmas,1.04,0.44,1.14,0.02
Cmpk1,-1.01,0.96,1.46,0.01
Cmpk2,1.2,0.04,1.19,0.03
Cmtm5,1.08,0.2,-1.08,0.21
Cmtr1,1.16,0.02,1.14,0.05
Cmtr2,1.15,0.09,1.46,0.0
Cnbp,1.05,0.47,1.12,0.13
Cndp2,1.09,0.11,1.02,0.67
Cnih1,1.06,0.3,1.14,0.06
Cnih2,1.08,0.4,-1.16,0.09
Cnn3,1.14,0.09,1.14,0.11
Cnnm1,1.51,0.0,1.55,0.0
Cnnm3,1.21,0.0,1.13,0.04
Cnot11,1.06,0.37,1.21,0.01
Cnot3,1.27,0.01,1.27,0.01
Cnot7,1.09,0.38,1.52,0.0
Cnot8,1.03,0.67,1.15,0.08
Cnot9,1.06,0.38,1.27,0.0
Cnp,1.23,0.05,-1.08,0.51
Cnppd1,1.05,0.31,1.05,0.33
Cnpy2,-1.07,0.2,-1.09,0.14
Cnpy3,-1.09,0.05,-1.18,0.0
Cnpy4,-1.02,0.77,-1.01,0.96
Cnr1,1.38,0.01,1.85,0.0
Cnrip1,1.07,0.16,1.09,0.09
Cntf,1.08,0.74,1.21,0.24
Cntfr,1.1,0.15,1.13,0.07
Cntn1,1.63,0.01,1.84,0.0
Cntn2,1.77,0.0,1.78,0.0
Cntnap1,1.4,0.0,1.4,0.0
Coa3,-1.2,0.0,-1.15,0.0
Coa4,1.13,0.14,1.06,0.41
Coa5,1.14,0.05,1.38,0.0
Coasy,1.24,0.0,1.2,0.01
Cog1,1.4,0.0,1.39,0.0
Cog2,1.39,0.0,1.28,0.0
Cog4,1.17,0.04,1.24,0.01
Cog8,1.06,0.34,-1.01,0.89
Col11a2,1.81,0.0,1.48,0.0
Col6a2,1.82,0.01,1.44,0.04
Colgalt1,1.21,0.0,1.12,0.06
Commd2,-1.01,0.83,-1.01,0.82
Commd3,1.02,0.63,1.01,0.88
Commd4,-1.05,0.32,-1.25,0.0
Commd6,-1.07,0.26,-1.02,0.74
Commd7,-1.11,0.14,-1.12,0.11
Commd8,1.07,0.35,1.05,0.45
Commd9,-1.06,0.24,-1.15,0.01
Comt,1.06,0.23,1.0,0.97
Comtd1,-1.05,0.29,-1.11,0.03
Copa,1.19,0.03,1.41,0.0
Copb1,1.29,0.02,1.62,0.0
Copb2,1.34,0.0,1.37,0.0
Cope,-1.02,0.69,-1.16,0.01
Copg1,1.33,0.01,1.43,0.0
Coprs,-1.15,0.01,-1.34,0.0
Cops2,1.21,0.09,1.72,0.0
Cops3,1.09,0.18,1.18,0.02
Cops4,1.08,0.17,1.06,0.28
Cops5,-1.01,0.79,1.02,0.74
Cops6,-1.04,0.4,-1.06,0.19
Cops7a,-1.03,0.43,-1.07,0.1
Cops8,1.03,0.56,1.07,0.14
Cops9,-1.13,0.05,-1.27,0.0
Copz1,1.06,0.25,1.02,0.59
Coq10a,-1.04,0.39,-1.02,0.69
Coq2,1.06,0.25,1.12,0.03
Coq3,1.0,0.97,1.08,0.32
Coq5,1.08,0.34,1.03,0.71
Coq6,1.08,0.14,1.0,0.9
Coq8a,1.12,0.03,1.06,0.2
Coq8b,1.05,0.44,-1.03,0.65
Coq9,1.1,0.13,1.05,0.37
Coro1a,-1.08,0.24,-1.11,0.09
Coro1b,1.01,0.77,-1.1,0.03
Coro7,1.11,0.12,1.04,0.53
Cort,-1.39,0.05,-1.73,0.0
Cotl1,1.02,0.8,-1.11,0.08
Cox15,1.12,0.1,1.27,0.0
Cox17,-1.16,0.02,-1.4,0.0
Cox19,-1.07,0.21,-1.0,0.96
Cox20,1.34,0.0,1.51,0.0
Cox4i1,-1.15,0.01,-1.23,0.0
Cox5a,1.07,0.28,-1.07,0.31
Cox5b,-1.26,0.0,-1.43,0.0
Cox6a1,-1.23,0.0,-1.35,0.0
Cox6b2,1.25,0.24,-1.44,0.06
Cox6c,1.01,0.95,1.03,0.62
Cox7a2,-1.07,0.25,-1.18,0.02
Cox7a2l,-1.05,0.45,-1.03,0.57
Cox7b,-1.14,0.03,-1.17,0.01
Cox7c,-1.13,0.08,-1.29,0.0
Cox8a,-1.12,0.02,-1.3,0.0
Cpe,1.07,0.21,1.12,0.04
Cplx1,1.07,0.2,-1.0,0.99
Cplx2,2.36,0.0,2.16,0.0
Cpne2,1.07,0.61,1.08,0.43
Cpne6,1.08,0.22,1.02,0.83
Cpne7,1.09,0.29,1.02,0.82
Cpox,1.14,0.07,1.11,0.14
Cpsf1,1.31,0.0,1.3,0.0
Cpsf2,1.36,0.0,1.53,0.0
Cpsf3,1.31,0.01,1.24,0.02
Cpsf6,1.29,0.05,1.92,0.0
Cpsf7,1.28,0.0,1.38,0.0
Cpt1c,1.19,0.02,1.12,0.1
Cptp,-1.05,0.28,-1.03,0.54
Crat,1.21,0.01,1.19,0.02
Crbn,1.54,0.0,1.97,0.0
Creb3,1.03,0.43,-1.04,0.29
Crebl2,1.18,0.02,1.31,0.0
Crebzf,1.2,0.04,1.25,0.01
Creg1,1.04,0.56,1.13,0.07
Creld1,-1.03,0.44,-1.09,0.07
Creld2,-1.01,0.85,-1.11,0.12
Crip2,-1.29,0.02,-1.25,0.04
Cript,1.06,0.56,1.55,0.0
Crk,1.56,0.0,1.72,0.0
Crlf1,1.09,0.18,-1.04,0.6
Crlf2,-1.12,0.21,-1.33,0.02
Crls1,1.13,0.13,1.32,0.01
Crmp1,1.04,0.45,1.08,0.14
Crtc2,1.35,0.01,1.19,0.07
Cry2,1.22,0.01,1.28,0.0
Cryab,1.05,0.63,-1.18,0.07
Cryga,-1.01,0.98,-1.26,0.01
Crym,-1.1,0.06,-1.05,0.33
Cs,1.27,0.01,1.35,0.0
Csad,1.14,0.08,1.06,0.38
Csdc2,1.1,0.17,1.05,0.43
Csde1,-1.02,0.87,1.15,0.14
Cse1l,1.13,0.18,1.55,0.0
Csf1,1.17,0.1,1.23,0.03
Csf1r,1.25,0.01,1.14,0.08
Csk,-1.02,0.74,-1.05,0.31
Csnk1a1,1.47,0.0,1.72,0.0
Csnk1d,1.14,0.03,1.19,0.01
Csnk1e,1.25,0.01,1.26,0.01
Csnk1g2,1.05,0.4,-1.06,0.39
Csnk2b,-1.1,0.02,-1.23,0.0
Cspg5,1.05,0.44,1.06,0.31
Csrnp1,-1.03,0.68,-1.02,0.83
Csrnp2,1.15,0.05,1.27,0.0
Csrp1,1.02,0.85,-1.1,0.3
Cst3,-1.11,0.04,-1.33,0.0
Cst6,-1.03,0.59,-1.25,0.01
Cstb,-1.03,0.59,-1.26,0.0
Cstf1,1.19,0.01,1.15,0.04
Cstf2,1.33,0.01,1.55,0.0
Cstf2t,1.2,0.05,1.42,0.0
Ctbp1,-1.0,0.96,1.0,0.9
Ctbp2,1.33,0.0,1.36,0.0
Ctc1,1.19,0.05,1.29,0.01
Ctdnep1,1.04,0.42,-1.06,0.21
Ctdsp1,1.12,0.13,-1.08,0.42
Ctgf,1.05,1.0,1.44,0.15
Ctnnb1,1.28,0.01,1.37,0.0
Ctps1,1.19,0.01,1.26,0.0
Ctr9,1.23,0.01,1.32,0.0
Ctsa,1.04,0.37,-1.03,0.49
Ctsb,1.01,0.79,1.0,0.92
Ctsd,-1.02,0.87,-1.14,0.1
Ctsf,1.06,0.31,1.03,0.56
Ctsh,1.04,0.75,-1.04,0.74
Ctsl,1.08,0.26,1.01,0.87
Ctss,-1.13,0.03,-1.09,0.11
Ctsz,-1.0,0.97,-1.18,0.09
Ctu1,1.1,0.15,1.08,0.22
Ctu2,1.15,0.08,-1.02,0.79
Ctxn1,-1.19,0.0,-1.14,0.02
Ctxn2,-1.43,0.04,-1.4,0.07
Cul1,1.21,0.02,1.39,0.0
Cul2,1.19,0.05,1.5,0.0
Cul3,1.3,0.03,1.74,0.0
Cul4a,1.29,0.0,1.33,0.0
Cuta,-1.12,0.02,-1.3,0.0
Cwc15,-1.07,0.37,-1.18,0.04
Cx3cl1,1.09,0.07,1.12,0.02
Cx3cr1,1.68,0.0,1.39,0.02
Cxcl12,1.07,0.41,1.25,0.02
Cxcl14,1.02,0.79,-1.08,0.21
Cxcr1,1.92,0.1,1.08,0.98
Cxcr4,-1.13,0.21,-1.05,0.63
Cxxc1,1.13,0.06,1.1,0.11
Cxxc5,1.04,0.34,1.0,0.99
Cyb561,-1.01,0.98,-1.03,0.97
Cyb561d1,1.08,0.23,1.13,0.06
Cyb561d2,-1.17,0.02,-1.17,0.03
Cyb5a,-1.08,0.21,-1.15,0.04
Cyb5b,1.48,0.0,1.74,0.0
Cyb5d1,2.05,0.0,1.6,0.03
Cyb5r1,1.16,0.01,1.07,0.16
Cyb5r3,1.0,0.95,-1.09,0.13
Cyc1,-1.09,0.01,-1.13,0.0
Cycs,-1.09,0.47,1.03,0.74
Cyfip1,1.34,0.01,1.46,0.0
Cyfip2,1.28,0.0,1.46,0.0
Cygb,-1.05,0.35,-1.04,0.46
Cyhr1,-1.0,0.88,1.03,0.35
Cyp2d4,1.31,0.0,1.11,0.19
Cyp46a1,-1.11,0.04,-1.04,0.44
Cyp51,1.14,0.06,1.18,0.02
Cyth2,1.02,0.65,-1.06,0.12
Cyth3,1.19,0.04,1.23,0.02
Dact2,-1.18,0.06,-1.05,0.52
Dact3,1.02,0.7,-1.08,0.13
Dad1,1.0,0.94,-1.13,0.01
Dag1,1.29,0.0,1.37,0.0
Dagla,1.39,0.01,1.31,0.02
Dalrd3,1.02,0.76,-1.0,0.97
Dancr,-1.02,0.84,1.16,0.21
Dap3,-1.05,0.46,1.02,0.79
Dapk3,1.05,0.31,-1.08,0.15
Daxx,1.22,0.01,1.18,0.02
Dazap1,1.09,0.22,-1.02,0.74
Dazap2,1.06,0.27,1.02,0.77
Dbi,-1.12,0.09,-1.1,0.14
Dbn1,1.14,0.02,1.11,0.05
Dbndd1,-1.08,0.22,-1.08,0.25
Dbndd2,-1.01,0.77,-1.26,0.0
Dbnl,1.14,0.01,1.1,0.07
Dbp,-1.11,0.13,-1.14,0.06
Dcaf11,1.29,0.0,1.23,0.01
Dcaf12,-1.02,0.78,1.28,0.0
Dcaf15,1.12,0.06,1.07,0.23
Dcaf7,1.26,0.0,1.54,0.0
Dcaf8,1.35,0.0,1.46,0.0
Dcakd,1.03,0.63,-1.07,0.29
Dchs1,1.23,0.05,1.4,0.01
Dclk1,1.25,0.03,1.69,0.0
Dclre1b,1.29,0.01,1.3,0.01
Dctn1,1.2,0.03,1.23,0.01
Dctn2,1.07,0.12,-1.03,0.51
Dctn3,-1.14,0.01,-1.19,0.0
Dctn5,1.06,0.2,1.08,0.12
Dctn6,-1.12,0.04,-1.15,0.01
Dctpp1,-1.18,0.06,-1.29,0.01
Dcun1d5,1.04,0.75,1.23,0.05
Dcxr,-1.02,0.78,-1.25,0.03
Dda1,-1.07,0.12,-1.13,0.01
Ddah2,-1.03,0.65,-1.23,0.01
Ddb1,1.19,0.03,1.3,0.0
Ddit3,-1.17,0.02,-1.16,0.02
Ddit4,1.28,0.01,1.1,0.21
Ddn,1.23,0.01,1.2,0.01
Ddost,-1.01,0.78,-1.02,0.54
Ddr1,1.48,0.0,1.16,0.17
Ddrgk1,-1.1,0.04,-1.22,0.0
Ddt,-1.1,0.03,-1.25,0.0
Ddx1,1.15,0.07,1.29,0.0
Ddx17,1.58,0.0,1.78,0.0
Ddx19a,1.18,0.04,1.25,0.01
Ddx20,1.16,0.09,1.33,0.0
Ddx21,1.27,0.01,1.46,0.0
Ddx23,1.17,0.01,1.16,0.02
Ddx24,1.1,0.1,1.15,0.03
Ddx25,1.04,0.57,1.02,0.71
Ddx27,1.13,0.04,1.06,0.26
Ddx28,1.01,0.88,1.09,0.16
Ddx3,1.65,0.0,2.2,0.0
Ddx39b,1.28,0.0,1.16,0.03
Ddx3x,1.44,0.01,2.11,0.0
Ddx41,1.11,0.04,1.0,0.92
Ddx42,1.2,0.02,1.25,0.01
Ddx46,1.39,0.01,1.57,0.0
Ddx47,1.06,0.38,1.14,0.06
Ddx49,1.06,0.31,-1.1,0.1
Ddx5,1.46,0.0,1.63,0.0
Ddx51,1.31,0.0,1.23,0.01
Ddx54,1.25,0.02,1.17,0.08
Ddx56,1.11,0.12,1.04,0.56
Deaf1,1.08,0.19,-1.0,0.95
Dedd,1.16,0.08,1.18,0.04
Def8,1.11,0.09,1.11,0.11
Degs1,1.06,0.4,1.03,0.63
Dek,1.29,0.06,1.76,0.0
Dennd5a,1.42,0.0,1.37,0.0
Dennd6b,1.13,0.07,1.13,0.08
Derl1,1.03,0.66,1.19,0.01
Derl3,1.09,0.45,-1.02,0.78
Desi1,1.31,0.01,1.21,0.03
Dexi,-1.1,0.08,-1.13,0.03
Dffa,1.17,0.03,1.23,0.01
Dgat1,-1.02,0.74,-1.15,0.01
Dgat2,1.03,0.63,1.01,0.79
Dgcr14,1.15,0.06,1.1,0.16
Dgcr6,-1.16,0.01,-1.27,0.0
Dgka,1.53,0.0,1.36,0.0
Dgkq,1.22,0.02,1.37,0.0
Dgkz,1.27,0.01,1.12,0.18
Dhcr24,1.66,0.0,1.63,0.0
Dhcr7,-1.0,0.97,1.02,0.73
Dhdds,1.06,0.25,1.04,0.44
Dhps,-1.08,0.08,-1.08,0.09
Dhrs1,1.22,0.05,-1.02,1.0
Dhrsx,1.16,0.04,-1.14,0.06
Dhx15,1.31,0.03,1.87,0.0
Dhx16,1.29,0.01,1.32,0.0
Dhx30,1.27,0.0,1.23,0.01
Dhx36,1.3,0.02,1.86,0.0
Dhx38,1.31,0.0,1.31,0.0
Dhx57,1.3,0.01,1.49,0.0
Dhx9,1.48,0.01,2.08,0.0
Diablo,-1.05,0.27,-1.12,0.02
Dio2,1.71,0.0,1.82,0.0
Dio3,-1.39,0.01,1.21,0.16
Diras1,1.29,0.01,1.19,0.05
Diras2,1.69,0.0,1.66,0.0
Disp2,1.29,0.01,1.55,0.0
Dkc1,-1.06,0.3,-1.14,0.04
Dkk3,1.23,0.02,1.22,0.02
Dkk4,1.09,0.36,1.35,0.0
Dlat,1.36,0.01,1.56,0.0
Dld,1.21,0.04,1.49,0.0
Dlg3,1.45,0.0,1.62,0.0
Dlg4,1.28,0.0,1.26,0.0
Dlgap3,1.22,0.04,1.1,0.27
Dlgap4,1.33,0.0,1.37,0.0
Dlk2,-1.11,0.11,-1.1,0.14
Dll1,1.12,0.22,1.2,0.06
Dlst,1.07,0.31,1.16,0.02
Dlx1,1.13,0.26,1.2,0.06
Dmap1,-1.04,0.45,-1.05,0.46
Dmtf1,1.27,0.02,1.62,0.0
Dmtn,1.11,0.03,1.09,0.06
Dnaaf2,1.0,0.91,1.24,0.01
Dnaja1,1.06,0.39,1.24,0.01
Dnaja2,1.14,0.09,1.37,0.0
Dnaja3,1.16,0.03,1.21,0.01
Dnaja4,1.14,0.07,1.12,0.12
Dnajb1,-1.1,0.13,1.15,0.03
Dnajb11,1.05,0.47,1.05,0.39
Dnajb12,1.1,0.06,1.01,0.73
Dnajb2,-1.04,0.48,-1.05,0.38
Dnajb3,-1.15,0.02,-1.19,0.01
Dnajb4,1.19,0.1,1.42,0.0
Dnajb5,1.12,0.05,1.16,0.02
Dnajb9,1.03,0.75,1.44,0.01
Dnajc10,1.28,0.01,1.62,0.0
Dnajc11,1.25,0.01,1.17,0.03
Dnajc14,1.1,0.14,1.2,0.01
Dnajc27,1.32,0.0,1.46,0.0
Dnajc28,1.34,0.05,1.77,0.0
Dnajc30,1.27,0.01,1.33,0.0
Dnajc4,-1.02,0.74,-1.16,0.08
Dnajc5,1.71,0.0,1.85,0.0
Dnajc6,1.28,0.01,1.57,0.0
Dnajc7,1.12,0.05,1.12,0.05
Dnajc8,1.0,0.9,-1.07,0.3
Dnajc9,-1.02,0.71,1.07,0.24
Dnal4,-1.04,0.52,-1.19,0.01
Dnase2,-1.06,0.44,-1.37,0.0
Dnlz,-1.25,0.0,-1.4,0.0
Dnm1,1.15,0.06,1.17,0.03
Dnm1l,1.7,0.0,2.34,0.0
Dnpep,-1.01,0.93,-1.11,0.03
Dnph1,-1.1,0.31,-1.29,0.02
Doc2a,-1.05,0.56,1.13,0.23
Doc2b,1.67,0.0,1.8,0.0
Dohh,-1.07,0.24,-1.16,0.02
Dok4,1.09,0.2,1.2,0.02
Dolk,1.05,0.39,-1.02,0.75
Dolpp1,1.07,0.33,-1.05,0.46
Dpagt1,1.14,0.19,1.13,0.17
Dpcd,-1.11,0.05,-1.15,0.02
Dpf1,-1.07,0.2,1.07,0.21
Dpf2,1.08,0.15,1.04,0.46
Dph1,1.29,0.0,1.12,0.1
Dph2,1.27,0.01,1.12,0.17
Dph3,1.04,0.53,1.02,0.75
Dpm1,1.14,0.11,1.25,0.01
Dpm2,-1.08,0.11,-1.27,0.0
