Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,03/29/2018,"SHELL Service Station SEATTLE WA     553322  03/29",-14.30,DEBIT_CARD,1926.46,,
DEBIT,03/29/2018,"ELEPHANT CAR WASH- BATT SEATTLE WA           03/27",-7.62,DEBIT_CARD,1940.76,,
CREDIT,03/29/2018,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",568.00,ACH_CREDIT,1948.38,,
DEBIT,03/28/2018,"COMCAST CABLE COMM 800-COMCAST WA            03/28",-100.00,DEBIT_CARD,1380.38,,
DEBIT,03/28/2018,"PAYPAL*Loftus Alexande SAN JOSE CA   154609  03/28",534.75,DEBIT_CARD,1480.38,,
DEBIT,03/27/2018,"PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77",-102.00,ACH_DEBIT,945.63,,
DEBIT,03/26/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1047.63,,
DEBIT,03/26/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1051.88,,
DEBIT,03/26/2018,"SHELL Service Station SEATTLE WA     039528  03/25",-47.10,DEBIT_CARD,1056.13,,
DEBIT,03/26/2018,"TRADER JOE'S # 151 BELLINGHAM WA     134382  03/23",-51.02,DEBIT_CARD,1103.23,,
DEBIT,03/26/2018,"TERIYAKI BAR BELLINGHAM WA                   03/23",-12.61,DEBIT_CARD,1154.25,,
DEBIT,03/26/2018,"ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        03/23",-1.18,DEBIT_CARD,1166.86,,
DEBIT,03/26/2018,"ARAMARK MILLER MARKET P BELLINGHAM WA        03/23",-6.95,DEBIT_CARD,1168.04,,
DEBIT,03/23/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-6.25,ACH_DEBIT,1174.99,,
DEBIT,03/23/2018,"PIZZA TIME BELLINGHAM WA                     03/21",-18.29,DEBIT_CARD,1181.24,,
CREDIT,03/23/2018,"KEY CR. TRANSFER ONLINE-BK  018081513088953 WEB ID: 9000000008",1150.00,ACH_CREDIT,1199.53,,
DEBIT,03/22/2018,"ARAMARK VIKING UNION MA BELLINGHAM WA        03/20",-3.26,DEBIT_CARD,49.53,,
DEBIT,03/22/2018,"ARAMARK TONYS AT MILLER BELLINGHAM WA        03/20",-7.53,DEBIT_CARD,52.79,,
DEBIT,03/20/2018,"WENDYS 9659 BELLINGHAM WA                    03/19",-9.54,DEBIT_CARD,60.32,,
DEBIT,03/20/2018,"WWU EMARKETS 360-650-3720 WA                 03/19",-103.00,DEBIT_CARD,69.86,,
DEBIT,03/20/2018,"ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        03/18",-8.19,DEBIT_CARD,172.86,,
DEBIT,03/19/2018,"PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77",-4.99,ACH_DEBIT,181.05,,
DEBIT,03/19/2018,"SQ *RB'S IN & OUT BELLINGHAM WA              03/17",-11.51,DEBIT_CARD,186.04,,
DEBIT,03/19/2018,"ASLAN BREWING CO BELLINGHAM WA               03/16",-22.39,DEBIT_CARD,197.55,,
DEBIT,03/19/2018,"ASLAN BREWING CO BELLINGHAM WA               03/16",-8.00,DEBIT_CARD,219.94,,
DEBIT,03/19/2018,"ARAMARK TOPIOS BELLINGHAM WA                 03/16",-9.22,DEBIT_CARD,227.94,,
CREDIT,03/19/2018,"VENMO            CASHOUT                    PPD ID: 5264681992",6.96,ACH_CREDIT,237.16,,
CREDIT,03/19/2018,"Online Transfer from SAV ...9660 transaction#: 6993975610",103.00,ACCT_XFER,230.20,,
DEBIT,03/16/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,127.20,,
DEBIT,03/16/2018,"APL* ITUNES.COM/BILL 866-712-7753 CA         03/15",-16.29,DEBIT_CARD,131.45,,
DEBIT,03/14/2018,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,147.74,,
DEBIT,03/14/2018,"NON-CHASE ATM WITHDRAW               161055  03/14100 SAMIS",-22.50,ATM,150.24,,
DEBIT,03/14/2018,"ARAMARK STARBUCKS BELLINGHAM WA              03/12",-7.94,DEBIT_CARD,172.74,,
DEBIT,03/13/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,180.68,,
DEBIT,03/13/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,184.93,,
DEBIT,03/13/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,189.18,,
DEBIT,03/13/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,193.43,,
DEBIT,03/13/2018,"FRED-MEYE FRED MEYER 0 BELLINGHAM WA         03/12",-39.91,DEBIT_CARD,197.68,,
DEBIT,03/13/2018,"ARAMARK VIKING UNION MA BELLINGHAM WA        03/11",-2.71,DEBIT_CARD,237.59,,
DEBIT,03/13/2018,"ARAMARK VU SUBWAY BELLINGHAM WA              03/11",-8.30,DEBIT_CARD,240.30,,
DSLIP,03/13/2018,"REMOTE ONLINE DEPOSIT #          1",81.06,CHECK_DEPOSIT,248.60,1,
DEBIT,03/12/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,167.54,,
DEBIT,03/12/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,171.79,,
DEBIT,03/12/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,176.04,,
DEBIT,03/12/2018,"PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77",-4.99,ACH_DEBIT,180.29,,
DEBIT,03/12/2018,"PAYPAL           INST XFER  KIGOSAI         WEB ID: PAYPALSI77",-16.00,ACH_DEBIT,185.28,,
DEBIT,03/12/2018,"RITE AID STORE - 5238 BELLINGHAM WA  130392  03/10",-21.73,DEBIT_CARD,201.28,,
DEBIT,03/12/2018,"ARAMARK TONYS AT MILLER BELLINGHAM WA        03/08",-7.98,DEBIT_CARD,223.01,,
DEBIT,03/09/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,230.99,,
DEBIT,03/09/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,235.24,,
DEBIT,03/09/2018,"ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        03/07",-4.45,DEBIT_CARD,239.49,,
DEBIT,03/09/2018,"ARAMARK MILLER MARKET P BELLINGHAM WA        03/07",-5.75,DEBIT_CARD,243.94,,
DEBIT,03/08/2018,"WWU AS BOOKSTORE BELLINGHAM WA               03/07",-14.67,DEBIT_CARD,249.69,,
DEBIT,03/08/2018,"HP *INSTANT INK 855-785-2777 CA              03/07",-5.44,DEBIT_CARD,264.36,,
DEBIT,03/08/2018,"ARAMARK MILLER MARKET P BELLINGHAM WA        03/06",-1.63,DEBIT_CARD,269.80,,
DEBIT,03/07/2018,"USCONNECT ADVGV VEND N FERNDALE WA           03/07",-1.25,DEBIT_CARD,271.43,,
DEBIT,03/07/2018,"ARAMARK TOPIOS BELLINGHAM WA                 03/05",-10.20,DEBIT_CARD,272.68,,
DEBIT,03/06/2018,"TRANSFER TO SAV XXXXX9660 03/06",-25.00,ACCT_XFER,282.88,,
DEBIT,03/06/2018,"USCONNECT ADVGV VEND N FERNDALE WA           03/06",-1.25,DEBIT_CARD,307.88,,
DEBIT,03/06/2018,"USCONNECT ADVGV VEND N FERNDALE WA           03/06",-1.25,DEBIT_CARD,309.13,,
DEBIT,03/05/2018,"HAGGEN #3449 BELLINGHAM WA           487155  03/04",-31.41,DEBIT_CARD,310.38,,
DEBIT,03/05/2018,"NELSON'S MARKET/MARLIN' BELLINGHAM WA        03/04",-15.59,DEBIT_CARD,341.79,,
DEBIT,03/05/2018,"SHELL OIL 57440716801 BELLINGHAM WA          03/03",-5.42,DEBIT_CARD,357.38,,
DEBIT,03/05/2018,"SQ *LYNDEN SKATEWAY INC Lynden WA            03/03",-2.30,DEBIT_CARD,362.80,,
DEBIT,03/05/2018,"SQ *LYNDEN SKATEWAY INC Lynden WA            03/03",-12.65,DEBIT_CARD,365.10,,
DEBIT,03/05/2018,"SQ *LYNDEN SKATEWAY INC Lynden WA            03/03",-10.92,DEBIT_CARD,377.75,,
DEBIT,03/05/2018,"MCKAYS TAPHOUSE BELLINGHAM WA                03/02",-6.50,DEBIT_CARD,388.67,,
DEBIT,03/05/2018,"CHEVRON 0374324 BELLINGHAM WA                03/02",-49.14,DEBIT_CARD,395.17,,
DEBIT,03/05/2018,"ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        03/02",-8.66,DEBIT_CARD,444.31,,
DEBIT,03/02/2018,"PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77",-2.00,ACH_DEBIT,452.97,,
DEBIT,03/02/2018,"350.ORG 646-801-0759 NY                      03/01",-10.00,DEBIT_CARD,454.97,,
DEBIT,03/01/2018,"Online Transfer to  SAV ...9660 transaction#: 6866763386",-50.00,ACCT_XFER,464.97,,
DEBIT,02/28/2018,"WWU EMARKETS 360-650-3720 WA                 02/27",-67.00,DEBIT_CARD,514.97,,
DEBIT,02/28/2018,"ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        02/26",-4.55,DEBIT_CARD,581.97,,
DEBIT,02/27/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,586.52,,
DEBIT,02/27/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,590.77,,
DEBIT,02/27/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,595.02,,
DEBIT,02/27/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,599.27,,
DEBIT,02/27/2018,"HAGGEN #3449 BELLINGHAM WA           580165  02/27",-32.24,DEBIT_CARD,603.52,,
DEBIT,02/27/2018,"JALAPENO'S - BARKLEY VI BELLINGHAM WA        02/25",-8.15,DEBIT_CARD,635.76,,
DEBIT,02/26/2018,"REGAL BARKLEY VILLAGE S BELLINGHAM WA        02/25",-19.13,DEBIT_CARD,643.91,,
DEBIT,02/26/2018,"THE GROVE BELLINGHAM WA                      02/25",-10.25,DEBIT_CARD,663.04,,
DSLIP,02/26/2018,"REMOTE ONLINE DEPOSIT #          1",48.03,CHECK_DEPOSIT,673.29,1,
DEBIT,02/23/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,625.26,,
DEBIT,02/23/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,629.51,,
DEBIT,02/23/2018,"PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77",-42.51,ACH_DEBIT,633.76,,
DEBIT,02/23/2018,"PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77",-535.00,ACH_DEBIT,676.27,,
DEBIT,02/22/2018,"USCONNECT ADVGV VEND N FERNDALE WA           02/21",-1.25,DEBIT_CARD,1211.27,,
DEBIT,02/22/2018,"MCKAYS TAPHOUSE BELLINGHAM WA                02/20",-11.00,DEBIT_CARD,1212.52,,
DEBIT,02/22/2018,"ARAMARK MILLER MARKET P BELLINGHAM WA        02/20",-3.26,DEBIT_CARD,1223.52,,
DEBIT,02/22/2018,"ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        02/20",-4.73,DEBIT_CARD,1226.78,,
CREDIT,02/22/2018,"KEY CR. TRANSFER ONLINE-BK  018052921384761 WEB ID: 9000000008",1150.00,ACH_CREDIT,1231.51,,
DEBIT,02/21/2018,"USCONNECT ADVGV VEND N FERNDALE WA           02/21",-1.25,DEBIT_CARD,81.51,,
DEBIT,02/21/2018,"USCONNECT ADVGV VEND N FERNDALE WA           02/21",-1.25,DEBIT_CARD,82.76,,
DEBIT,02/20/2018,"PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77",-4.99,ACH_DEBIT,84.01,,
DEBIT,02/20/2018,"PAYPAL           INST XFER  TIX             WEB ID: PAYPALSI77",-14.56,ACH_DEBIT,89.00,,
DEBIT,02/20/2018,"TRADER JOE'S # 151 BELLINGHAM WA     871313  02/19",-15.69,DEBIT_CARD,103.56,,
DEBIT,02/20/2018,"FRED-MEYE FRED MEYER 0 BELLINGHAM WA         02/19",-47.52,DEBIT_CARD,119.25,,
DEBIT,02/20/2018,"FRED-MEYER #0025 FRED BELLINGHAM WA  429643  02/19",-2.80,DEBIT_CARD,166.77,,
DEBIT,02/20/2018,"HAGGEN #3449 BELLINGHAM WA           680048  02/19",-19.25,DEBIT_CARD,169.57,,
DEBIT,02/20/2018,"BOOMERS DRIVE IN BELLINGHAM WA               02/18",-6.41,DEBIT_CARD,188.82,,
DEBIT,02/20/2018,"ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        02/16",-2.45,DEBIT_CARD,195.23,,
DEBIT,02/15/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,197.68,,
DEBIT,02/15/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,201.93,,
DEBIT,02/15/2018,"ARAMARK TOPIOS BELLINGHAM WA                 02/13",-2.17,DEBIT_CARD,206.18,,
DEBIT,02/14/2018,"WWU EMARKETS 360-650-3720 WA                 02/13",-36.00,DEBIT_CARD,208.35,,
DEBIT,02/14/2018,"ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        02/12",-7.44,DEBIT_CARD,244.35,,
DEBIT,02/14/2018,"ARAMARK TOPIOS BELLINGHAM WA                 02/12",-4.45,DEBIT_CARD,251.79,,
CREDIT,02/13/2018,"DEPOSIT  ID NUMBER 646403",100.00,ACCT_XFER,256.24,,
DEBIT,02/12/2018,"PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77",-4.99,ACH_DEBIT,156.24,,
DEBIT,02/12/2018,"APL* ITUNES.COM/BILL 866-712-7753 CA         02/11",-16.29,DEBIT_CARD,161.23,,
DEBIT,02/12/2018,"ROOK AND ROGUE BOARD GA BELLINGHAM WA        02/10",-10.26,DEBIT_CARD,177.52,,
DEBIT,02/12/2018,"HAGGEN #3449 BELLINGHAM WA           867072  02/10",-17.85,DEBIT_CARD,187.78,,
DEBIT,02/12/2018,"JACK IN THE BOX 8372 BELLINGHAM WA           02/10",-4.01,DEBIT_CARD,205.63,,
DSLIP,02/12/2018,"REMOTE ONLINE DEPOSIT #          1",120.09,CHECK_DEPOSIT,209.64,1,
DEBIT,02/09/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,89.55,,
DEBIT,02/08/2018,"JACK IN THE BOX 8372 BELLINGHAM WA           02/07",-8.90,DEBIT_CARD,93.80,,
DEBIT,02/08/2018,"HP *INSTANT INK 855-785-2777 CA              02/07",-2.17,DEBIT_CARD,102.70,,
CREDIT,02/08/2018,"DEPOSIT  ID NUMBER 477536",100.00,ACCT_XFER,104.87,,
DEBIT,02/07/2018,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,4.87,,
DEBIT,02/07/2018,"NON-CHASE ATM WITHDRAW               396406  02/07188E COLL",-43.00,ATM,7.37,,
DEBIT,02/07/2018,"FRED MEYE FRED MEYER 6 BELLINGHAM WA         02/07",-42.73,DEBIT_CARD,50.37,,
DEBIT,02/06/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-2.25,ACH_DEBIT,93.10,,
DEBIT,02/06/2018,"TRANSFER TO SAV XXXXX9660 02/06",-25.00,ACCT_XFER,95.35,,
DEBIT,02/05/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-2.25,ACH_DEBIT,120.35,,
DEBIT,02/05/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,122.60,,
DEBIT,02/05/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,126.85,,
DEBIT,02/05/2018,"AmazonPrime Membersh amzn.com/prme WA        02/03",-107.61,DEBIT_CARD,131.10,,
DEBIT,02/05/2018,"CHEVRON 0374324 BELLINGHAM WA                02/04",-47.46,DEBIT_CARD,238.71,,
DEBIT,02/02/2018,"PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77",-2.00,ACH_DEBIT,286.17,,
DEBIT,02/02/2018,"350.ORG 646-801-0759 NY                      02/01",-10.00,DEBIT_CARD,288.17,,
DEBIT,02/02/2018,"HAGGEN #3449 BELLINGHAM WA           424350  02/02",-21.97,DEBIT_CARD,298.17,,
DEBIT,02/02/2018,"HAGGEN #3449 BELLINGHAM WA           762336  02/02",-30.50,DEBIT_CARD,320.14,,
DEBIT,02/02/2018,"BUSARA THAI CUISINE BELLINGHAM WA            01/31",-13.94,DEBIT_CARD,350.64,,
DEBIT,02/02/2018,"ARAMARK TOPIOS BELLINGHAM WA                 01/31",-8.13,DEBIT_CARD,364.58,,
DEBIT,02/01/2018,"Online Transfer to  SAV ...9660 transaction#: 6781634116",-50.00,ACCT_XFER,372.71,,
DEBIT,01/31/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,422.71,,
DEBIT,01/31/2018,"WWU EMARKETS 360-650-3720 WA                 01/30",-107.00,DEBIT_CARD,426.96,,
DEBIT,01/30/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-2.25,ACH_DEBIT,533.96,,
DEBIT,01/30/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,536.21,,
DEBIT,01/29/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,540.46,,
DEBIT,01/29/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,544.71,,
DEBIT,01/29/2018,"PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77",-592.26,ACH_DEBIT,548.96,,
DEBIT,01/26/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1141.22,,
DEBIT,01/26/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1145.47,,
DEBIT,01/26/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1149.72,,
DEBIT,01/24/2018,"HAGGEN #3449 BELLINGHAM WA           065535  01/24",-45.48,DEBIT_CARD,1153.97,,
CREDIT,01/23/2018,"KEY CR. TRANSFER ONLINE-BK  018022365864192 WEB ID: 9000000008",1150.00,ACH_CREDIT,1199.45,,
DEBIT,01/22/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-2.25,ACH_DEBIT,49.45,,
DEBIT,01/22/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,51.70,,
CREDIT,01/22/2018,"Online Transfer from SAV ...9660 transaction#: 6841848334",50.00,ACCT_XFER,55.95,,
DEBIT,01/19/2018,"LOVERS MERIDIAN 232 BELLINGHAM WA            01/18",-74.46,DEBIT_CARD,5.95,,
DEBIT,01/18/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-2.25,ACH_DEBIT,80.41,,
DEBIT,01/18/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,82.66,,
DEBIT,01/18/2018,"PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77",-4.99,ACH_DEBIT,86.91,,
DEBIT,01/18/2018,"TRADER JOE'S # 151 BELLINGHAM WA     522239  01/17",-17.38,DEBIT_CARD,91.90,,
DEBIT,01/18/2018,"HAGGEN #3449 BELLINGHAM WA           122714  01/17",-41.73,DEBIT_CARD,109.28,,
DEBIT,01/16/2018,"APL* ITUNES.COM/BILL 866-712-7753 CA         01/15",-16.29,DEBIT_CARD,151.01,,
DEBIT,01/16/2018,"BOOMERS DRIVE IN BELLINGHAM WA               01/14",-6.61,DEBIT_CARD,167.30,,
DEBIT,01/16/2018,"CHAIR 9 DEMING WA                            01/13",-26.36,DEBIT_CARD,173.91,,
DEBIT,01/16/2018,"76 - STARVIN SAMS 14 BELLINGHAM WA           01/13",-43.99,DEBIT_CARD,200.27,,
CREDIT,01/16/2018,"VENMO            CASHOUT                    PPD ID: 5264681992",15.00,ACH_CREDIT,244.26,,
CREDIT,01/16/2018,"Online Transfer from SAV ...9660 transaction#: 6822045009",100.00,ACCT_XFER,229.26,,
DEBIT,01/12/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-2.25,ACH_DEBIT,129.26,,
DEBIT,01/12/2018,"ARAMARK MILLER MARKET P BELLINGHAM WA        01/10",-1.29,DEBIT_CARD,131.51,,
DEBIT,01/12/2018,"ARAMARK TONYS AT MILLER BELLINGHAM WA        01/10",-2.77,DEBIT_CARD,132.80,,
DSLIP,01/12/2018,"REMOTE ONLINE DEPOSIT #          1",24.00,CHECK_DEPOSIT,135.57,1,
DEBIT,01/11/2018,"ARAMARK TOPIOS BELLINGHAM WA                 01/09",-4.84,DEBIT_CARD,111.57,,
DEBIT,01/10/2018,"PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77",-4.99,ACH_DEBIT,116.41,,
DEBIT,01/10/2018,"COLD TURKEY      IAT PAYPAL 1002366452673   WEB ID: 770510487C",-7.32,ACH_DEBIT,121.40,,
DEBIT,01/10/2018,"WWU AS BOOKSTORE BELLINGHAM WA               01/09",-168.62,DEBIT_CARD,128.72,,
CREDIT,01/10/2018,"KEY CR. TRANSFER ONLINE-BK  018009149006336 WEB ID: 9000000008",170.00,ACH_CREDIT,297.34,,
DEBIT,01/08/2018,"RITE AID STORE - 5238 BELLINGHAM WA  221805  01/08",-17.90,DEBIT_CARD,127.34,,
DEBIT,01/08/2018,"TRANSFER TO SAV XXXXX9660 01/08",-25.00,ACCT_XFER,145.24,,
DEBIT,01/08/2018,"SQ *MOUNT BAKERY CAFE F Fairhaven WA         01/07",-32.40,DEBIT_CARD,170.24,,
DEBIT,01/08/2018,"HAGGEN #3449 BELLINGHAM WA           210006  01/06",-9.11,DEBIT_CARD,202.64,,
DEBIT,01/08/2018,"BOLTBUS - INTERNET PA 214-849-8966 OR        01/06",-17.50,DEBIT_CARD,211.75,,
DEBIT,01/08/2018,"SDOT PAYBYPHONE PARKI 111-111-1111 WA        01/04",-0.83,DEBIT_CARD,229.25,,
CREDIT,01/08/2018,"VENMO            CASHOUT                    PPD ID: 5264681992",12.25,ACH_CREDIT,230.08,,
CREDIT,01/08/2018,"VENMO            CASHOUT                    PPD ID: 5264681992",17.00,ACH_CREDIT,217.83,,
DEBIT,01/05/2018,"JERRY Q TOM OD SEATTLE WA                    01/04",-200.00,DEBIT_CARD,200.83,,
CREDIT,01/05/2018,"KEY CR. TRANSFER ONLINE-BK  018004056772286 WEB ID: 9000000008",200.00,ACH_CREDIT,400.83,,
CREDIT,01/04/2018,"DEPOSIT  ID NUMBER 247815",52.77,ACCT_XFER,200.83,,
DEBIT,01/03/2018,"VENMO            PAYMENT    839727649       WEB ID: 3264681992",-12.25,ACH_DEBIT,148.06,,
DEBIT,01/03/2018,"Amazon.com AMZN.COM/BILL WA                  01/03",-15.79,DEBIT_CARD,160.31,,
CREDIT,01/03/2018,"KEY CR. TRANSFER ONLINE-BK  018002000402045 WEB ID: 9000000008",20.00,ACH_CREDIT,176.10,,
DEBIT,01/02/2018,"PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77",-2.00,ACH_DEBIT,156.10,,
DEBIT,01/02/2018,"350.ORG 646-801-0759 NY                      01/01",-10.00,DEBIT_CARD,158.10,,
DEBIT,01/02/2018,"PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77",-45.05,ACH_DEBIT,168.10,,
DEBIT,01/02/2018,"DOMINO'S 7087 503-689-1288 WA                01/02",-30.78,DEBIT_CARD,213.15,,
DEBIT,01/02/2018,"76 - STARVIN SAMS 14 BELLINGHAM WA           01/01",-42.84,DEBIT_CARD,243.93,,
DEBIT,01/02/2018,"FRED MEYE FRED MEYER 0 BELLINGHAM WA         12/30",-45.10,DEBIT_CARD,286.77,,
DEBIT,01/02/2018,"JACK IN THE BOX 8372 BELLINGHAM WA           12/29",-6.29,DEBIT_CARD,331.87,,
DEBIT,01/02/2018,"SDOT PAYBYPHONE PARKI 111-111-1111 WA        12/28",-0.82,DEBIT_CARD,338.16,,
CREDIT,01/02/2018,"VENMO            CASHOUT                    PPD ID: 5264681992",12.50,ACH_CREDIT,338.98,,
DEBIT,12/29/2017,"SHELL Service Station SEATTLE WA     041437  12/29",-43.52,DEBIT_CARD,326.48,,
DEBIT,12/29/2017,"Online Transfer to  SAV ...9660 transaction#: 6709462047",-50.00,ACCT_XFER,370.00,,
DEBIT,12/29/2017,"THE CROCODILE SEATTLE WA                     12/29",-20.00,DEBIT_CARD,420.00,,
DEBIT,12/29/2017,"TFI*TICKETFLY EVENTS 877-435-9849 CA         12/28",-22.54,DEBIT_CARD,440.00,,
DEBIT,12/29/2017,"WSF GALLEY PUYALLUP 778 BREMERTON WA         12/27",-3.30,DEBIT_CARD,462.54,,
DEBIT,12/29/2017,"WSF GALLEY PUYALLUP 778 BREMERTON WA         12/27",-4.95,DEBIT_CARD,465.84,,
DEBIT,12/28/2017,"PAYPAL           INST XFER  TILE INC        WEB ID: PAYPALSI77",-25.00,ACH_DEBIT,470.79,,
DEBIT,12/28/2017,"PANE D AMORE BAINBRIDGE IS WA                12/27",-16.25,DEBIT_CARD,495.79,,
DEBIT,12/28/2017,"WSF SEATTLE NEWS 77881 BREMERTON WA          12/27",-4.39,DEBIT_CARD,512.04,,
DEBIT,12/28/2017,"ALLIANCEONE GOVERNMEN 253-620-2222 WA        12/27",-51.51,DEBIT_CARD,516.43,,
DEBIT,12/28/2017,"FRAN'S CHOCOLATES - U V SEATTLE WA           12/26",-10.44,DEBIT_CARD,567.94,,
DEBIT,12/27/2017,"VENMO            PAYMENT    828334322       WEB ID: 3264681992",-9.00,ACH_DEBIT,578.38,,
DEBIT,12/27/2017,"VENMO            PAYMENT    827874613       WEB ID: 3264681992",-55.00,ACH_DEBIT,587.38,,
DEBIT,12/27/2017,"CALIBURGER SEATTLE WA                        12/26",-4.49,DEBIT_CARD,642.38,,
DEBIT,12/26/2017,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-2.25,ACH_DEBIT,646.87,,
DEBIT,12/26/2017,"PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77",-535.00,ACH_DEBIT,649.12,,
DEBIT,12/26/2017,"TOWN & COUNTRY 343 W BAINBRIDGE IS WA364045  12/24",-15.99,DEBIT_CARD,1184.12,,
DEBIT,12/26/2017,"GO! CALENDARS,GAMES,BOO BELLINGHAM WA        12/24",-10.86,DEBIT_CARD,1200.11,,
